Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
1,8.14139e-16,0.0489864,1.5708,2.44242e-15,0.146959,0,0.146959
2,4.9346e-15,0.296912,1.5708,4.98488e-15,0.299938,0,0.299938
3,9.92051e-15,0.596912,1.5708,4.98591e-15,0.3,0,0.3
4,1.49064e-14,0.896912,1.5708,4.98591e-15,0.3,0,0.3
5,1.98923e-14,1.19691,1.5708,4.98591e-15,0.3,0,0.3
6,2.48783e-14,1.49691,1.5708,4.98591e-15,0.3,0,0.3
7,2.98642e-14,1.79691,1.5708,4.98591e-15,0.3,0,0.3
8,3.48501e-14,2.09691,1.5708,4.98591e-15,0.3,0,0.3
9,3.9836e-14,2.39691,1.5708,4.98591e-15,0.3,0,0.3
10,4.48219e-14,2.69691,1.5708,4.98591e-15,0.3,0,0.3
11,4.98078e-14,2.99691,1.5708,4.98591e-15,0.3,0,0.3
12,5.47937e-14,3.29691,1.5708,4.98591e-15,0.3,0,0.3
13,5.97796e-14,3.59691,1.5708,4.98591e-15,0.3,0,0.3
14,6.47656e-14,3.89691,1.5708,4.98591e-15,0.3,0,0.3
15,6.97515e-14,4.19691,1.5708,4.98591e-15,0.3,0,0.3
16,7.47374e-14,4.49691,1.5708,4.98591e-15,0.3,0,0.3
17,7.97233e-14,4.79691,1.5708,4.98591e-15,0.3,0,0.3
18,8.47092e-14,5.09691,1.5708,4.98591e-15,0.3,0,0.3
19,8.96951e-14,5.39691,1.5708,4.98591e-15,0.3,0,0.3
20,9.4681e-14,5.69691,1.5708,4.98591e-15,0.3,0,0.3
21,9.9667e-14,5.99691,1.5708,4.98591e-15,0.3,0,0.3
22,1.04653e-13,6.29691,1.5708,4.98591e-15,0.3,0,0.3
23,1.09639e-13,6.59691,1.5708,4.98591e-15,0.3,0,0.3
24,1.14625e-13,6.89691,1.5708,4.98591e-15,0.3,0,0.3
25,1.19611e-13,7.19691,1.5708,4.98591e-15,0.3,0,0.3
26,1.24597e-13,7.49691,1.5708,4.98591e-15,0.3,0,0.3
27,1.29582e-13,7.79691,1.5708,4.98591e-15,0.3,0,0.3
28,1.34568e-13,8.09691,1.5708,4.98591e-15,0.3,0,0.3
29,1.39554e-13,8.39691,1.5708,4.98591e-15,0.3,0,0.3
30,1.4454e-13,8.69691,1.5708,4.98591e-15,0.3,0,0.3
31,1.49526e-13,8.99691,1.5708,4.98591e-15,0.3,0,0.3
32,1.54512e-13,9.29691,1.5708,4.98591e-15,0.3,0,0.3
33,1.59498e-13,9.59691,1.5708,4.98591e-15,0.3,0,0.3
34,1.64484e-13,9.89691,1.5708,4.98591e-15,0.3,0,0.3
35,1.6947e-13,10.1969,1.5708,4.98591e-15,0.3,0,0.3
36,1.74456e-13,10.4969,1.5708,4.98591e-15,0.3,0,0.3
37,1.79442e-13,10.7969,1.5708,4.98591e-15,0.3,0,0.3
38,1.84276e-13,11.0878,1.5708,4.1977e-15,0.252573,0,0.252573
39,-0.00117538,11.4173,1.58702,-0.00352604,0.217287,0.0324523,0.217316
40,-0.00940037,11.6344,1.6357,-0.0140949,0.216858,0.0649046,0.217316
41,-0.0316875,11.8506,1.71683,-0.0316231,0.215003,0.0973569,0.217316
42,-0.0748642,12.0634,1.83041,-0.0557875,0.210033,0.129809,0.217316
43,-0.145207,12.2688,1.97645,-0.0857571,0.199679,0.162262,0.217316
44,-0.247765,12.4601,2.15494,-0.119846,0.181282,0.194714,0.217316
45,-0.38526,12.6297,2.36582,-0.155137,0.15218,0.224391,0.217316
46,-0.557471,12.7645,2.57398,-0.183238,0.116833,0.191939,0.217316
47,-0.751922,12.8637,2.7497,-0.20084,0.0830021,0.159486,0.217316
48,-0.959381,12.9307,2.89296,-0.210633,0.0534777,0.127034,0.217316
49,-1.17341,12.9708,3.00376,-0.215255,0.0298576,0.0945818,0.217316
50,-1.39008,12.9905,3.08212,-0.216932,0.0129168,0.0621295,0.217316
51,-1.60741,12.9967,3.12802,-0.217296,0.00294882,0.0296772,0.217316
52,-1.82475,12.9964,3.14147,-0.217316,2.57859e-05,-0.00277513,0.217316
53,-2.05616,13,3.14159,-0.299457,0,0,0.299457
54,-2.35614,13,3.14159,-0.3,0,0,0.3
55,-2.63524,13,3.14159,-0.229878,0,0,0.229878
56,-2.91731,12.9988,3.15782,-0.217287,-0.00352604,0.0324523,0.217316
